Gene	A_Ctrl_1	A_Ctrl_2	A_Ctrl_3	A_Ctrl_4	A_Ctrl_5	A_Ctrl_6	B_AF_1	B_AF_2	B_AF_3	B_AF_4	B_AF_5	B_AF_6
clualt5p61083:RBM6	0.47	0.30	0.35	0.42	0.30	0.37	0.13	0.24	0.14	0.17	0.24	0.38
clualt3p13937:INTS6	0.28	0.22	0.08	0.23	0.30	0.22	0.09	0.07	0.15	0.03	0.00	0.06
clualt5p85556:PARP12	1.00	0.77	1.00	1.00	0.94	0.88	0.69	0.41	0.75	0.43	0.90	1.00
clualt5p65023:YEATS2	0.16	0.38	0.28	0.00	0.18	0.03	0.00	0.00	0.00	0.00	0.00	0.00
clualt5p69585:ZNF827	0.85	1.00	1.00	1.00	0	0.68	0.43	0.67	0.75	0.78	0	0.80
clualt5p82749:ZNF680	0.74	0.78	0.38	0.55	0.60	0.68	0.84	0.67	0.84	0.74	0.83	0.71
clualt3p2939:PCNX3	0.61	0.54	0.71	0.70	0.54	0.68	0.19	0.53	0.56	0.42	0.62	0.46
clualt3p77457:TRIM52	0.55	0.36	0.36	0.38	0.44	0.48	0.17	0	0.15	0.24	0.18	0.00
clualt5p73266:IRF1	0.77	0.86	0.59	0.78	0.70	0.59	0.70	0.93	0.87	0.94	0.96	0.98
clualt3p3800:XRRA1	0.64	0.75	0.70	0.73	0.60	0.44	0.00	0.56	0.67	0.31	0	0.31
clualt5p99101:F8	0.54	0.71	0.30	0.58	0.35	0.33	0.28	0.30	0.26	0.24	0.33	0.40
clualt5p70110:CBR4	0.05	0.17	0.00	0.11	0.00	0.00	0.32	0.27	0.00	0.19	0	0.40
clualt5p82250:URGCP	0.83	0.54	0.88	0.62	0.92	0.82	1.00	1.00	1.00	1.00	1.00	0
clualt5p41175:CARD8	0.47	0.47	0.51	0.48	0.52	0.49	0.25	0.37	0.21	0.37	0.20	0.36
clualt3p43433:LILRB3	0.36	0.11	0.17	0.19	0.19	0.25	0.35	0.29	0.43	0.38	0.50	0.31
clualt5p67549:DCUN1D4	0.21	0.17	0.30	0.31	0.42	0.22	0.05	0.00	0.11	0.03	0.16	0.37
clualt3p59827:SUMF1	0.85	1.00	1.00	0.90	0.90	0.95	0.87	0.78	0.83	0.60	0.55	0.74
clualt5p81978:RP5-877J2.1	0.10	0.09	0.18	0.20	0.00	0.20	0.25	0	0.40	0.08	0.55	0.50
clualt5p39344:C19orf12	0.71	0.81	0.60	0.68	0.58	0.67	0.93	0.77	0.76	0.97	0.95	0.87
clualt5p49359:PIAS3	0.26	0.11	0.46	0.18	0.30	0.29	0.57	0.75	0.52	0.43	0.37	0.19
clualt5p27833:GEMIN4	0.15	0.41	0.17	0.43	0.05	0.06	0.07	0.00	0.00	0.17	0.00	0.00
clualt3p64213:ABI3BP	0.70	0.78	0.79	0.43	0.73	0.69	0.09	0.52	0.12	0.16	0.10	0.11
clualt5p86641:ANGEL2	0.71	0.84	0.82	0.90	0.68	0.78	0.52	0.55	0.46	0.68	0.33	0.63
clualt3p27637:PDPR	0.96	0.88	0.79	0.94	0.88	0.91	0.33	0.53	0.56	0.47	0.71	0.78
clualt5p92877:CARD19	0.89	0.83	0.86	0.78	0.71	1.00	0.60	0.62	0.72	0.59	0.69	0.83
clualt5p32970:MAP2K6	0.00	0.40	0.42	0.08	0.00	0.29	0.45	0.55	0.69	0.63	0.38	0.09
clualt5p44296:STON1-GTF2A1L	0.44	0.43	0.21	0.32	0.58	0.63	0.62	0.44	0.72	0.68	0.53	0.66
clualt3p31573:CDK12	0.76	0.75	0.85	0.94	0.72	0.76	1.00	0.91	1.00	0.93	0.98	0.90
clualt5p83865:SGCE	0.74	0.64	0.67	0.87	0.76	0.78	0.96	0.72	0.90	0.95	1.00	0.84
clualt3p54230:CHD6	0.83	0.83	0.96	0.60	0	0.75	0.89	1.00	1.00	1.00	0	0.88
clualt3p36985:ODF2L	1.00	0.75	0.71	1.00	0.82	0.97	0.84	0.65	0.74	0.60	0.67	0.75
clualt5p75229:TOR1AIP2	0.79	0.69	0.76	0.60	0.70	0.63	0.73	0.60	0.54	0.32	0.58	0.50
clualt5p89884:TOP1MT	0	0.17	0.06	0.55	0.15	0.50	0.07	0.14	0.00	0.00	0.10	0.00
clualt5p97224:ALG13	0.08	0.39	0.30	0.45	0.62	0.38	0.14	0.13	0.24	0.24	0.20	0.07
clualt5p40011:HNRNPL	0.30	0.31	0.29	0.27	0.28	0.38	0.64	0.30	0.77	0.69	0.75	0.23
clualt3p104960:NUTM2B-AS1	0.67	0.44	0.62	0.25	0.57	1.00	1.00	0.83	1.00	0.88	0.71	0
clualt5p82559:UPP1	0.25	0.20	0.31	0.13	0.15	0.18	0.64	0.54	0.35	0.38	0.38	0.33
clualt3p56965:--	0.66	0.52	0.72	0.75	1.00	0.66	1.00	1.00	1.00	0.95	1.00	0.70
clualt3p17330:PCNX4	0.42	0.57	0.43	0.57	0.27	0.52	0.66	0.60	0.76	0.64	0.61	0.51
clualt3p81129:TSTD3	0.61	0.83	0.80	0.75	0.80	0.74	1.00	1.00	1.00	0.83	0.93	0.83
clualt3p34110:NAT9	0.70	0.58	0.50	0.64	0.52	0.76	0.93	0.53	0.74	0.89	1.00	0.85
clualt3p90555:CSPP1	0	0.67	0.92	1.00	0.89	0.69	1.00	1.00	1.00	1.00	1.00	0
clualt3p100405:PABIR2	0.70	0.54	0.77	0.54	0.80	0.78	0.93	0.74	0.86	1.00	0.89	0.67
cluolp25487:--	0.10	0.58	0.43	0.40	0.34	0.54	0.66	0.62	0.51	0.66	0.52	0.48
clualt3p49595:METTL8	0.71	0.61	0.55	0.30	0.50	0.71	0.26	0.40	0.29	0.39	0	0.50
clualt3p53038:PLCB1	0	0.83	0.73	1.00	0.60	0.77	0.45	0.43	0.56	0.62	0.73	0.14
clualt5p2469:NRXN2	1.00	0.73	0.70	0.70	0.44	0	0.55	0.50	0	0.23	0.47	0.55
clualt5p7479:PHACTR4	0.71	0.71	0.80	0.71	0.76	0.67	0.50	0.47	0.67	0.33	0.55	0.74
clualt5p39115:NR2C2AP	0.85	0.67	0.88	0	0.75	1.00	0.50	0.76	0.56	0.50	0.67	0.67
clualt5p69532:GAB1	0.45	0.53	0.52	0.67	0.38	0.44	0.27	0.33	0.24	0.53	0.33	0.38
clualt3p107387:PNPLA2	0.45	0.57	0.60	0.67	0.39	0.62	0.40	0.39	0.45	0.31	0.32	0.44
clualt3p40975:U2AF1L4	0.21	0.76	0.46	0.64	0.42	0.50	0.15	0.42	0.33	0.11	0.30	0.41
clualt5p96942:HDX	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.43	0.46	0.00	0	0.00
clualt5p13697:ARHGEF7	0.32	0.31	0.46	0.39	0.44	0.27	0.51	0.48	0.48	0.59	0.51	0.58
clualt3p50023:GULP1	1.00	1.00	0.91	1.00	1.00	0.91	0.70	0.90	0.62	0.93	0	0.81
clualt5p48306:CCDC141	0.26	0.50	0.25	0.25	0.14	0.15	0.75	0.62	0	0.57	0.57	0.40
clualt3p47961:AFF3	0.69	0.47	0.72	0.64	0.50	0.44	0.68	0.89	0.62	0.74	0.78	0.67
clualt3p55403:TCFL5	0.75	0.80	0.65	0.60	0.73	0.83	0.97	1.00	0.87	0.78	0.85	1.00
clualt3p91647:BAALC	0.87	0.79	0.86	0.67	0.82	0.72	1.00	0.67	1.00	1.00	1.00	1.00
clualt5p80519:ZBTB2	0.64	0.35	0.13	0.56	0.48	0.43	0.22	0.00	0.15	0.00	0.36	0.05
clualt5p104530:PTDSS2	0.00	0.00	0.00	0.00	0	0.00	0.14	0	0.36	0.07	0.22	0.00
clualt5p79427:DDO	0.71	0.82	0.63	0.57	1.00	0.81	0.54	0	0.50	0.61	0.26	0.47
clualt3p40743:CEP89	0.32	0.38	0.11	0.25	0.45	0.26	0.00	0.07	0.10	0.08	0.10	0.38
clualt3p67605:MUC20-OT1	0.62	0.75	0.64	0.33	0.60	0.59	0.83	0.62	0.95	0	0.71	1.00
